word,score
중국,1344
한국,561
문화,442
한복,438
우리,411
장관,345
조선족,305
나라,304
말,265
정부,220
소수민족,165
우리나라,146
사람,145
생각,143
문체부,132
일본,118
이재명,113
문재인,109
대통령,106
중국인,105
자기,100
놈,99
옷,99
민족,98
올림픽,96
국민,96
중국공산당,95
역사,87
문제,85
코로나,79
속국,77
항의,76
지금,76
정권,72
북한,72
국가,72
땅,69
김치,68
하나,64
소리,63
개,63
전통,62
여론,60
황희,59
세계,59
미국,56
외교,55
보고,52
민주당,52
오해,50
재앙,48
선수,46
대국,45
대응,44
발끈,41
동북공정,41
인정,40
인간,40
고구려,40
후보,39
정신,39
입장,38
전세계,38
주장,38
힘,37
전통의상,36
전쟁,34
독도,34
한국인,34
정치,33
공정,33
욕,32
눈치,32
이유,29
영상,29
발언,29
병신,29
조선,28
윤석열,28
대표,28
안철수,27
표현,25
홍보,24
통일,24
시진핑,24
발해,24
대선,24
한족,24
경제,23
개막식,23
치파오,22
한푸,22
시발,22
사실,22
보이콧,22
상황,22
대만,22
투표,21
댓글,21
매국노,21
